Search terms ,website,date,results searched,notes
Caribou Demography Canada,Google Scholar,June 28th 2022,90,at this point there were no relevant previously unseen studies among results
Caribou Manitoba,Google scholar ,July 1th,10,yielded Brown112 
boreal caribou British Columbia,,July 24th,10,"found some grey literature, specifically  Culling115 and Seip113 map of Quesnel"
